#,Tênis Verde,IMDB,Título,1a. Vez,Última Vez,Vezes,Nota
729,contos-da-noite,tt1828229,Contos da Noite,2014-06-22,2014-06-22,1,3
728,enders-game-o-jogo-do-exterminador,tt1731141,Ender's Game O Jogo do Exterminador,2014-06-21,2014-06-21,1,3
727,como-treinar-o-seu-dragao-2,tt1646971,Como Treinar o Seu Dragão 2,2014-06-19,2014-06-19,1,5
726,a-face-do-mal,tt2386278,A Face do Mal,2014-06-15,2014-06-15,1,4
725,a-culpa-e-das-estrelas,tt2582846,A Culpa é das Estrelas,2014-06-14,2014-06-14,1,5
724,american-pie-apresenta-o-livro-do-amor,tt1407050,American Pie Apresenta O Livro do Amor,2014-06-13,2014-06-13,1,3
723,amor-sem-fim,tt2318092,Amor Sem Fim,2014-06-13,2014-06-13,1,4
722,evocando-espiritos,tt0492044,Evocando Espíritos,2014-06-12,2014-06-12,1,3
721,armacoes-do-amor,tt0427229,Armações do Amor,2014-06-12,2014-06-12,1,3
720,malevola,tt1587310,Malévola,2014-06-11,2014-06-11,1,4
719,no-limite-do-amanha,tt1631867,No Limite do Amanhã,2014-06-10,2014-06-10,1,4
718,exit-through-the-gift-shop,tt1587707,Exit Through the Gift Shop,2014-06-07,2014-06-07,1,5
717,computer-chess,tt2007360,Computer Chess,2014-06-06,2014-06-06,1,3
716,metropolis,tt0017136,Metrópolis,2014-06-06,2014-06-06,1,5
715,sherlock-jr,tt0015324,Sherlock Jr.,2014-06-06,2014-06-06,1,5
714,o-cheiro-do-ralo,tt0489458,O Cheiro do Ralo,2014-05-31,2014-05-31,1,5
713,godzilla,tt0831387,Godzilla,2014-05-28,2014-05-28,1,5
712,x-men-dias-de-um-futuro-esquecido,tt1877832,X-Men Dias de um Futuro Esquecido,2014-05-26,2014-05-26,1,4
711,turbo,tt1860353,Turbo,2014-05-23,2014-05-23,1,4
710,trainspotting-sem-limites,tt0117951,Trainspotting Sem Limites,2014-05-21,2014-05-21,1,5
709,manhattan,tt0079522,Manhattan,2014-05-20,2014-05-20,1,4
708,holy-motors,tt2076220,Holy Motors,2014-05-15,2014-05-15,1,5
707,following,tt0154506,Following,2014-05-14,2014-05-14,1,4
706,divergente,tt1840309,Divergente,2014-05-13,2014-05-13,1,3
705,tudo-o-que-voce-sempre-quis-saber-sobre-sexo-e-tinha-medo-de-perguntar,tt0068555,Tudo o Que Você Sempre Quis Saber Sobre Sexo E Tinha Medo de Perguntar,2014-05-10,2014-05-10,1,3
704,monty-python-o-sentido-da-vida,tt0085959,Monty Python O Sentido da Vida,2014-05-10,2014-05-10,1,5
703,scarface,tt0086250,Scarface,2014-05-10,2014-05-10,1,5
702,o-ancora-a-lenda-de-ron-burgundy,tt0357413,O Âncora A Lenda de Ron Burgundy,2014-05-08,2014-05-08,1,3
701,amante-a-domicilio,tt2258345,Amante a Domicílio,2014-05-08,2014-05-08,1,3
700,o-espetacular-homem-aranha-2-a-ameaca-de-electro,tt1872181,O Espetacular Homem-Aranha 2 A Ameaça de Electro,2014-05-06,2014-05-06,1,3
699,presente-de-grego,tt0092605,Presente de Grego,2014-05-02,2014-05-02,1,4
698,o-misterio-das-duas-irmas,tt0815245,O Mistério das Duas Irmãs,2014-05-01,2014-05-01,1,3
697,capital-america-2-o-soldado-invernal,tt1843866,Capitão América 2 O Soldado Invernal,2014-04-27,2014-04-27,1,3
696,no-impact-man,tt1280011,No Impact Man,2014-04-27,2014-04-27,1,3
695,abel,tt1479668,Abel,2014-04-26,2014-04-26,1,3
694,hoje-eu-quero-voltar-sozinho,tt1702014,Hoje Eu Quero Voltar Sozinho,2014-04-23,2014-04-23,1,4
693,actores-sa,tt3336632,Actores S.A.,2014-04-20,2014-04-20,1,2
692,uma-manha-gloriosa,tt1126618,Uma Manhã Gloriosa,2014-04-19,2014-04-19,1,4
691,woman-in-love,tt1802810,Woman in Love,2014-04-18,2014-04-18,1,3
690,as-cronicas-de-spiderwick,tt0416236,As Crônicas de Spiderwick,2014-04-17,2014-04-17,1,3
689,gigantes-de-aco,tt0433035,Gigantes de Aço,2014-04-16,2014-04-16,1,4
688,noe,tt1959490,Noé,2014-04-09,2014-04-09,1,4
687,oblivion,tt1483013,Oblivion,2014-04-06,2014-04-06,1,3
686,tipo-ruim,tt0307213,Tipo Ruim,2014-04-05,2014-04-05,1,4
685,um-monstro-em-paris,tt0961097,Um Monstro em Paris,2014-04-05,2014-04-05,1,3
684,penelope,tt0472160,Penelope,2014-04-05,2014-04-05,1,3
683,curtindo-a-vida-adoidado,tt0091042,Curtindo a Vida Adoidado,2014-04-02,2014-04-02,1,5
682,os-irmaos-cara-de-pau,tt0080455,Os Irmãos Cara de Pau,2014-03-30,2014-03-30,1,5
681,300-a-ascencao-do-imperio,tt1253863,300 A Ascensão do Império,2014-03-25,2014-03-25,1,2
680,inside-llewyn-davis-balada-de-um-homem-comum,tt2042568,Inside Llewyn Davis Balada de Um Homem Comum,2014-03-24,2014-03-24,1,5
679,a-princesinha,tt0113670,A Princesinha,2014-03-23,2014-03-23,1,5
678,o-mundo-imaginario-do-doutor-parnassus,tt1054606,O Mundo Imaginário do Doutor Parnassus,2014-03-22,2014-03-22,1,2
677,team-america-detonando-o-mundo,tt0372588,Team America Detonando o Mundo,2014-03-19,2014-03-19,1,4
676,ninfomaniaca-volume-2,tt2382009,Ninfomaníaca Volume 2,2014-03-18,2014-03-18,1,4
675,diario-de-uma-paixao,tt0332280,Diário de uma Paixão,2014-03-15,2014-03-15,1,4
674,a-mentira,tt1282140,A Mentira,2014-03-14,2014-03-14,1,1
673,nova-york-eu-te-amo,tt0808399,Nova York Eu Te Amo,2014-03-13,2014-03-13,1,5
672,o-exorcismo-de-emily-rose,tt0404032,O Exorcismo de Emily Rose,2014-03-08,2014-03-08,1,4
671,ela,tt1798709,Ela,2014-03-07,2014-03-07,1,5
670,poltergeist-o-fenomeno,tt0084516,Poltergeist O Fenômeno,2014-03-06,2014-03-06,1,4
669,o-homem-do-planeta-x,tt0043778,O Homem do Planeta X,2014-03-04,2014-03-04,1,2
668,onde-os-fracos-nao-tem-vez,tt0477348,Onde os Fracos não Têm Vez,2014-03-04,2014-03-04,1,4
667,abutres,tt1542852,Abutres,2014-03-04,2014-03-04,1,5
666,voltar-a-morrer,tt0101669,Voltar a Morrer,2014-03-04,2014-03-04,1,3
665,a-big-love-story,tt1769383,A Big Love Story,2014-03-03,2014-03-03,1,3
664,o-equilibrista,tt1155592,O Equilibrista,2014-03-02,2014-03-02,1,5
663,o-estranho-mundo-de-jack,tt0107688,O Estranho Mundo de Jack,2014-03-02,2014-03-02,1,4
662,el-santos-vs-la-tetona-nervosa,tt2243275,El Santos VS la Tetona Mendoza,2014-03-02,2014-03-02,1,3
661,a-hora-da-zona-morta,tt0085407,A Hora da Zona Morta,2014-03-01,2014-03-01,1,4
660,sharknado,tt2724064,Sharknado,2014-03-01,2014-03-01,1,1
659,a-outra-historia-americana,tt0120586,A Outra História Americana,2014-02-26,2014-02-26,1,4
658,robocop-2014,tt1234721,RoboCop,2014-02-24,2014-02-24,1,4
657,depois-do-casamento,tt0457655,Depois do Casamento,2014-02-22,2014-02-22,1,5
656,os-homens-que-encaravam-cabras,tt1234548,Os Homens que Encaravam Cabras,2014-02-15,2014-02-15,1,4
655,mama,tt2023587,Mama,2014-02-15,2014-02-15,1,2
654,trapaca,tt1800241,Trapaça,2014-02-13,2014-02-13,1,4
653,chasing-ice,tt1579361,Chasing Ice,2014-02-09,2014-02-09,1,4
652,louca-obsessao,tt0100157,Louca Obsessão,2014-02-09,2014-02-09,1,5
651,um-final-de-semana-em-hyde-park,tt1477855,Um Final de Semana em Hyde Park,2014-02-08,2014-02-08,1,3
650,uma-aventura-lego,tt1490017,Uma Aventura LEGO,2014-02-08,2014-03-03,2,5
649,o-grande-levowski,tt0118715,O Grande Lebowski,2014-02-07,2014-02-07,1,5
648,malena,tt0213847,Malena,2014-02-05,2014-02-05,1,4
647,a-tale-of-two-sisters,tt0365376,Medo,2014-02-02,2014-02-02,1,2
646,together-is-too-much,tt1570577,Together Is Too Much,2014-02-01,2014-02-01,1,3
645,a-menina-que-roubava-livros,tt0816442,A Menina que Roubava Livros,2014-02-01,2014-02-01,1,4
644,os-croods,tt0481499,Os Croods,2014-01-31,2014-01-31,1,3
643,o-lobo-de-wall-street,tt0993846,O Lobo de Wall Street,2014-01-30,2014-01-30,1,5
642,abra-os-olhos,tt0125659,Abra os Olhos,2014-01-29,2014-01-29,1,5
641,ninfomaniaca,tt1937390,Ninfomaníaca,2014-01-27,2014-01-27,1,4
640,ajuste-de-contas,tt1661382,Ajuste de Contas,2014-01-25,2014-01-25,1,4
639,o-cliente,tt0109446,O Cliente,2014-01-24,2014-01-24,1,4
638,boy-meets-girl-1984,tt0086994,Boy Meets Girl,2014-01-23,2014-01-23,1,4
637,sonhando-acordado,tt0484111,Sonhando Acordado,2014-01-19,2014-01-19,1,4
636,natureza-quase-humana,tt0219822,Natureza Quase Humana,2014-01-19,2014-01-19,1,4
635,silk,tt0494834,Silk,2014-01-18,2014-01-18,1,2
634,minha-vida-dava-um-filme,tt1698648,Minha Vida Dava um Filme,2014-01-18,2014-01-18,1,3
